Label,Element,Concentration
36629 B,Ag 328.068,-0.02
36629 B,Al 308.215,279.81
36629 B,As 188.980,1.24
36629 B,As 193.696,0.78
36629 B,B 249.772,1.43
36629 B,Ca 422.673,3607.96
36629 B,Ca 430.253,3754.75
36629 B,Ca 643.907,3547.10
36629 B,Cd 214.439,0.13
36629 B,Co 231.406,0.89
36629 B,Co 258.033,0.93
36629 B,Cr 266.602,3.61
36629 B,Cr 267.716,3.35
,,
36630 A,Ag 328.068,0.05
36630 A,Al 308.215,265.36
36630 A,As 188.980,2.04
36630 A,As 193.696,1.71
36630 A,B 249.772,2.67
36630 A,Ca 422.673,1947.41
36630 A,Ca 430.253,2007.38
36630 A,Ca 643.907,1920.44
36630 A,Cd 214.439,0.24
36630 A,Co 231.406,0.90
36630 A,Co 258.033,0.80
36630 A,Cr 266.602,3.69
36630 A,Cr 267.716,3.65
,,
36630 B,Ag 328.068,-0.01
36630 B,Al 308.215,293.69
36630 B,As 188.980,1.68
36630 B,As 193.696,1.87
36630 B,B 249.772,2.89
36630 B,Ca 422.673,2090.68
36630 B,Ca 430.253,2148.35
36630 B,Ca 643.907,2046.64
36630 B,Cd 214.439,0.26
36630 B,Co 231.406,1.15
36630 B,Co 258.033,0.74
36630 B,Cr 266.602,3.97
36630 B,Cr 267.716,3.88
,,
36631 AR,Ag 328.068,0.00
36631 AR,Al 308.215,15.14
36631 AR,As 188.980,0.15
36631 AR,As 193.696,0.15
36631 AR,B 249.772,0.19
36631 AR,Ca 422.673,338.66
36631 AR,Ca 430.253,350.01
36631 AR,Ca 643.907,331.00
36631 AR,Cd 214.439,0.01
36631 AR,Co 231.406,0.03
36631 AR,Co 258.033,0.05
36631 AR,Cr 266.602,0.23
36631 AR,Cr 267.716,0.19
,,
36631 BR,Ag 328.068,0.00
36631 BR,Al 308.215,9.32
36631 BR,As 188.980,0.03
36631 BR,As 193.696,0.16
36631 BR,B 249.772,0.12
36631 BR,Ca 422.673,204.91
36631 BR,Ca 430.253,212.92
36631 BR,Ca 643.907,202.53
36631 BR,Cd 214.439,0.02
36631 BR,Co 231.406,0.00
36631 BR,Co 258.033,0.05
36631 BR,Cr 266.602,0.14
36631 BR,Cr 267.716,0.12
,,
36632 AR,Ag 328.068,0.00
36632 AR,Al 308.215,10.06
36632 AR,As 188.980,0.22
36632 AR,As 193.696,0.48
36632 AR,B 249.772,0.15
36632 AR,Ca 422.673,301.76
36632 AR,Ca 430.253,311.88
36632 AR,Ca 643.907,294.49
36632 AR,Cd 214.439,0.01
36632 AR,Co 231.406,0.03
36632 AR,Co 258.033,0.02
36632 AR,Cr 266.602,0.15
36632 AR,Cr 267.716,0.13
,,
36632 BR,Ag 328.068,-0.01
36632 BR,Al 308.215,10.07
36632 BR,As 188.980,0.06
36632 BR,As 193.696,0.22
36632 BR,B 249.772,0.15
36632 BR,Ca 422.673,299.31
36632 BR,Ca 430.253,309.76
36632 BR,Ca 643.907,294.67
36632 BR,Cd 214.439,0.02
36632 BR,Co 231.406,0.02
36632 BR,Co 258.033,0.04
36632 BR,Cr 266.602,0.18
36632 BR,Cr 267.716,0.12
,,
36633 AR,Ag 328.068,0.00
36633 AR,Al 308.215,0.27
36633 AR,As 188.980,0.19
36633 AR,As 193.696,-0.02
36633 AR,B 249.772,0.09
36633 AR,Ca 422.673,212.30
36633 AR,Ca 430.253,220.17
36633 AR,Ca 643.907,208.79
36633 AR,Cd 214.439,0.00
36633 AR,Co 231.406,-0.04
36633 AR,Co 258.033,0.01
36633 AR,Cr 266.602,0.03
36633 AR,Cr 267.716,0.03
,,
36633 BR,Ag 328.068,0.00
36633 BR,Al 308.215,0.31
36633 BR,As 188.980,0.23
