Label,Element,Average,STD,Aa,Bb,A,B,Ar,Br,R,C,b,Cr
36587,K 766.491,8.91,0.0,8.91,8.91,8.91,8.91,,,,,8.91,
36587,Mg 279.553,8.055,0.09192388155425048,8.12,7.99,8.12,7.99,,,,,7.99,
36587,Mg 285.213,8.32,0.141421356237309,8.42,8.22,8.42,8.22,,,,,8.22,
36587,Mg 383.230,,,,,,,,,,,,
36587,Mn 257.610,0.11,0.0,0.11,0.11,0.11,0.11,,,,,0.11,
36587,Mn 346.032,,,,,,,,,,,,
36587,Mo 202.032,0.04,0.0,0.04,0.04,0.04,0.04,,,,,0.04,
36587,Mo 204.598,0.04,0.0,0.04,0.04,0.04,0.04,,,,,0.04,
36587,Mo 313.259,0.07500000000000001,0.007071067811865472,0.08,0.07,0.08,0.07,,,,,0.07,
36587,Na 588.995,11.715,0.13435028842544494,11.81,11.62,11.81,11.62,,,,,11.62,
36587,Na 589.592,11.915,0.12020815280171303,12.0,11.83,12.0,11.83,,,,,11.83,
36587,Ni 225.385,0.03,0.0,0.03,0.03,0.03,0.03,,,,,0.03,
36587,Ni 227.877,0.02,0.0282842712474619,0.0,0.04,0.0,0.04,,,,,0.04,
36587,P 213.618,270.735,5.395224740453354,274.55,266.92,274.55,266.92,,,,,266.92,
36587,P 215.294,,,,,,,,,,,,
36587,P 255.491,,,,,,,,,,,,
36587,Pb 220.353,-0.005,0.007071067811865475,0.0,-0.01,0.0,-0.01,,,,,-0.01,
36587,Pb 266.315,,,,,,,,,,,,
36587,Pb 363.957,,,,,,,,,,,,
36587,Sb 206.834,0.02,0.0,0.02,0.02,0.02,0.02,,,,,0.02,
36587,Si 251.611,0.6000000000000001,0.056568542494923775,0.56,0.64,0.56,0.64,,,,,0.64,
36587,Sn 189.925,0.05,0.042426406871192854,0.02,0.08,0.02,0.08,,,,,0.08,
36587,Ti 336.122,0.015,0.007071067811865475,0.01,0.02,0.01,0.02,,,,,0.02,
36587,V 319.068,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,
36587,Zn 213.857,0.16,0.0,0.16,0.16,0.16,0.16,,,,,0.16,
36587,Zn 472.215,,,,,,,,,,,,
,,,,,,,,,,,,,
36592,Ag 328.068,,,,,,,,,,,,
36592,Al 308.215,408.03,126.61454023926319,,,318.5,497.56,,,,,,
36592,As 188.980,,,,,,,,,,,,
36592,As 193.696,8.149999999999999,3.8466608896548182,,,5.43,10.87,,,,,,
36592,B 249.772,1.9849999999999999,0.2899137802864844,,,2.19,1.78,,,,,,
36592,Ca 422.673,110458.56,13026.23627020484,,,101247.62,119669.5,,,,,,
36592,Ca 430.253,119522.48999999999,13690.973213062689,,,109841.51,129203.47,,,,,,
36592,Ca 643.907,,,,,,,,,,,,
36592,Cd 214.439,-0.035,0.06363961030678927,,,0.01,-0.08,,,,,,
36592,Co 231.497,1.99,2.276883835420683,,,0.38,3.6,,,,,,
36592,Co 258.033,1.505,0.5727564927611034,,,1.1,1.91,,,,,,
36592,Cr 266.602,7.79,0.141421356237309,,,7.89,7.69,,,,,,
36592,Cr 267.716,9.629999999999999,1.0182337649086282,,,8.91,10.35,,,,,,
36592,Cr 357.868,17.759999999999998,1.7819090885900994,,,16.5,19.02,,,,,,
36592,Cu 324.754,8.29,1.1596551211459376,,,7.47,9.11,,,,,,
36592,Cu 327.395,6.045,0.9545941546018389,,,5.37,6.72,,,,,,
36592,Fe 238.204,692.595,85.75083935449261,,,631.96,753.23,,,,,,
36592,Hg 184.887,,,,,,,,,,,,
36592,Hg 194.164,0.12499999999999997,0.8131727983645296,,,0.7,-0.45,,,,,,
36592,K 766.491,2763.9449999999997,320.8921283702671,,,2537.04,2990.85,,,,,,
36592,Mg 279.553,1432.565,172.08857733737,,,1310.88,1554.25,,,,,,
36592,Mg 285.213,1480.555,178.4242540968015,,,1354.39,1606.72,,,,,,
36592,Mg 383.230,,,,,,,,,,,,
36592,Mn 257.610,21.525,2.3970919882223964,,,19.83,23.22,,,,,,
36592,Mn 346.032,,,,,,,,,,,,
36592,Mo 202.032,12.965,0.9545941546018402,,,12.29,13.64,,,,,,
36592,Mo 204.598,11.09,0.5091168824543134,,,10.73,11.45,,,,,,
36592,Mo 313.259,18.54,0.4666904755831215,,,18.87,18.21,,,,,,
36592,Na 588.995,3217.3100000000004,371.9805933109951,,,2954.28,3480.34,,,,,,
36592,Na 589.592,3258.825,371.2805575976206,,,2996.29,3521.36,,,,,,
36592,Ni 225.385,10.61,1.5980613254815972,,,11.74,9.48,,,,,,
36592,Ni 227.877,6.835,4.6174072811481555,,,10.1,3.57,,,,,,
36592,P 213.618,44924.46,5372.229627929169,,,41125.72,48723.2,,,,,,
36592,P 215.294,,,,,,,,,,,,
36592,P 255.491,,,,,,,,,,,,
36592,Pb 220.353,-0.235,0.007071067811865462,,,-0.24,-0.23,,,,,,
36592,Pb 266.315,,,,,,,,,,,,
36592,Pb 363.957,,,,,,,,,,,,
36592,Sb 206.834,3.4,3.2809754647055804,,,5.72,1.08,,,,,,
36592,Si 251.611,345.69,194.56750191129038,,,208.11,483.27,,,,,,
36592,Sn 189.925,8.965,2.2698127676088173,,,7.36,10.57,,,,,,
36592,Ti 336.122,8.71,6.717514421272202,,,3.96,13.46,,,,,,
36592,V 319.068,1.045,0.5586143571373725,,,0.65,1.44,,,,,,
36592,Zn 213.857,158.85999999999999,58.37873585476135,,,117.58,200.14,,,,,,
36592,Zn 472.215,,,,,,,,,,,,
,,,,,,,,,,,,,
36593,Ag 328.068,,,,,,,,,,,,
36593,Al 308.215,455.84000000000003,0.5374011537018099,,,455.46,456.22,,,,,,
36593,As 188.980,,,,,,,,,,,,
36593,As 193.696,3.375,2.0576807332528535,,,4.83,1.92,,,,,,
36593,B 249.772,0.6799999999999999,0.014142135623730885,,,0.69,0.67,,,,,,
36593,Ca 422.673,11827.315,461.57809355514297,,,11500.93,12153.7,,,,,,
36593,Ca 430.253,12581.965,467.57435905960455,,,12251.34,12912.59,,,,,,
36593,Ca 643.907,,,,,,,,,,,,
36593,Cd 214.439,0.02,0.01414213562373095,,,0.01,0.03,,,,,,
36593,Co 231.497,2.295,0.8838834764831844,,,1.67,2.92,,,,,,
36593,Co 258.033,0.27,0.07071067811865477,,,0.22,0.32,,,,,,
36593,Cr 266.602,3.32,0.3252691193458118,,,3.09,3.55,,,,,,
36593,Cr 267.716,4.235,0.28991378028648457,,,4.03,4.44,,,,,,
36593,Cr 357.868,5.3,0.16970562748477155,,,5.18,5.42,,,,,,
36593,Cu 324.754,6.07,0.2828427124746186,,,5.87,6.27,,,,,,
